3006.9314 ThII
3012.7078 ThII
3015.7251 ThII
3017.1321 ThII
3018.4900 ThII
3019.4219 ThII
3030.4878 ThI
3033.5083 ArII
3038.5986 ThII
3046.9514 ThII
3047.8164 ThI
3049.0923 ThII
3060.4390 ThI
3067.7295 ThII
3068.9075 ThI
3072.1150 ThII
3072.8252 ThII
3075.0564 ThII
3078.8279 ThII
3080.2170 ThII
3090.0938 ThII
3093.4019 ArII
3097.2671 ThII
3100.9382 ThII
3102.6638 ThII
3105.7473 ThII
3107.0261 ThII
3108.2969 ThII
3110.0210 ThII
3116.2629 ThII
3117.6841 ThII
3119.5261 ThII
3120.8809 ThI
3122.9634 ThII
3124.3875 ThII
3134.4258 ThII
3136.2161 ThI
3136.8293 ThI
3140.2720 ThI
3141.8472 ThII
3142.8357 ThII
3145.6370 ThI
3146.0435 ThII
3147.4485 ThI
3150.4551 ThII
3151.6465 ThII
3154.3008 ThII
3155.8301 ThII
3156.4006 ThII
3161.3726 ArII
3167.5605 ThII
3169.6685 ArII
3171.2754 ThI
3172.1111 Th
3173.4265 ThI
3174.2043 ThII
3175.7256 ThII
3176.1670 ThI
3178.2434 ThI
3179.0481 ThII
3180.1936 ThII
3181.0376 ArII
3181.6721 Th
3204.3210 ArII
3210.3088 ThII
3211.1943 ThI
3212.0220 Th
3213.5742 ThII
3215.7781 ThII
3220.3508 ThII
3229.0095 ThII
3230.8679 ThII
3235.8401 Th
3238.1157 ThII
3238.9343 ThI
3243.6887 ArII
3244.4487 ThI
3245.7603 ThII
3249.8003 ArII
3251.9160 ThI
3252.9644 Th
3253.8660 ThI
3254.8098 ThII
3256.2737 ThII
3257.3667 ThI
3258.1055 ThI
3259.0608 ThI
3259.6165 ThII
3260.9417 ThII
3262.6685 ThII
3265.5779 ThII
3271.1199 Th
3271.8911 ThI
3272.0269 ThI
3273.9158 ThII
3275.0676 ThII
3276.1711 Th
3280.3713 ThII
3281.0488 ThI
3281.2732 Th
3281.7017 ArII
3282.6167 Th
3282.9795 ThII
3285.7524 ThI
3286.5830 ThII
3287.7893 ThII
3290.5996 Th
3291.7395 ThII
3292.5210 ThII
3293.2256 Th
3293.9480 ThII
3294.2451 ThII
3296.6074 ThII
3297.3748 ThII
3297.8333 ThII
3298.0498 ThI
3299.6687 ThII
3301.6511 ThI
3304.2383 ThI
3305.3037 ThI
3307.2283 ArII
3308.4741 Th
3309.3655 ThI
3310.1987 Th
3313.6785 Th
3314.8269 ThII
3319.9102 ThI
3320.3003 ThII
3320.4763 ThI
3321.4507 ThII
3321.5742 ThI
3322.0933 ThI
3324.7527 ThII
3325.1206 ThII
3326.4651 ThII
3327.1931 ThI
3329.7285 ThI
3330.4771 ThI
3333.1289 ThI
3334.6040 ThII
3335.0640 ThII
3336.1619 ThII
3337.8704 ThII
3338.3970 ThII
3340.7253 ThI
3343.1643 ThI
3343.6184 ThII
3345.1709 ThI
3345.8804 Th
3346.5559 ThII
3346.9648 ThI
3347.9922 Th
3348.7683 ThI
3350.3513 ThI
3350.9243 ArII
3351.2285 ThII
3353.9485 ThII
3354.1797 ThII
3354.6184 ThII
3355.1062 ThI
3355.2588 ThII
3355.5630 ThII
3358.6021 ThII
3359.7568 ThII
3360.3735 ThII
3360.9983 ThI
3361.1980 ThI
3361.6189 ThII
3361.7368 ThII
3362.6763 ThII
3364.6855 ThII
3365.1377 ThI
3365.3384 ThI
3366.5171 ThII
3367.5823 ThI
3367.8188 ThII
3371.7966 ThII
3372.8230 Th
3373.4924 ThI
3374.5813 ThII
3374.9749 ThI
3376.4358 ArII
3378.5735 ThII
3380.8596 ThI
3383.1067 ThII
3385.5315 ThII
3386.5005 ThII
3387.9204 ThI
3388.5310 ArII
3389.4631 ThI
3389.6404 ThII
3390.3682 Th
3391.8713 ThI
3392.0349 ThII
3393.4214 ThI
3393.9929 ThI
3394.7971 ThII
3396.7278 ThI
3397.5161 ThI
3398.5449 ThI
3401.7109 ThI
3402.0264 ThII
3402.6953 ThII
3404.6509 ThII
3405.5583 ThI
3406.2417 ThII
3407.8301 ThI
3408.7500 ThI
3409.2700 ThII
3410.0757 ThI
3413.0129 ThI
3415.8845 ThI
3417.4978 ThI
3418.7754 ThII
3419.1733 ThII
3421.2100 ThI
3422.6560 ThI
3423.1289 Th
3423.9897 ThI
3425.4348 ThI
3425.9436 ThII
3427.0923 ThI
3428.6221 ThI
3428.7144 ThI
3428.9993 ThI
3430.4175 Th
3431.8103 ThII
3433.9988 ThII
3434.7271 ThI
3435.9771 ThII
3436.7273 ThI
3437.3071 ThI
3438.9502 ThII
3439.3987 ThI
3439.7119 ThII
3441.0359 ThII
3441.3647 ThII
3441.5269 ThI
3442.5791 ThI
3445.2173 ThII
3445.7441 ThII
3446.5474 ThI
3448.9487 ThI
3449.2871 ThII
3449.6448 ThII
3451.7024 ThI
3452.6819 ThII
3454.0952 ArII
3455.6130 ThI
3457.0691 ThI
3461.0188 ThI
3461.2173 ThI
3462.8506 ThII
3463.7197 ThII
3464.1272 ArII
3465.0625 ThI
3465.7649 ThII
3466.5383 ThI
3466.6460 ThI
3468.2197 ThII
3469.3455 ThI
3469.9209 ThII
3470.5674 ThI
3471.0005 ThI
3471.2185 ThI
3471.9592 ThI
3476.3853 ThI
3476.7473 ArII
3477.7041 ThII
3478.2324 ArII
3478.4634 ThII
3479.1726 ThII
3479.6848 ThI
3480.0525 ThI
3480.5056 ArII
3482.5481 ThII
3482.7612 ThII
3484.0801 ThII
3485.2124 ThII
3486.5513 ThI
3487.8435 ThII
3488.8337 ThI
3489.1841 ThI
3489.5076 ThI
3490.4524 ThII
3490.8733 ArII
3491.2439 ArII
3491.5359 ArII
3491.8999 ThI
3493.2512 Th
3493.5186 ThII
3495.6997 ThI
3496.0603 Th
3496.8108 ThI
3497.2627 ThII
3498.0098 ThII
3498.6211 ThI
3499.6829 Th
3499.8218 ThI
3499.9866 ThII
3500.1033 Th
3501.4558 ThII
3501.8667 ThI
3502.9636 ThI
3503.6145 ThII
3503.7859 ThI
3505.4941 ThII
3506.1328 ThI
3506.6458 ThI
3507.5464 Th
3509.0889 ThI
3509.7786 ArII
3511.1575 ThI
3511.5620 ThII
3512.7424 ThII
3514.3877 ArII
3514.9622 ThII
3516.3545 Th
3516.8242 ThII
3518.4041 ThI
3518.8857 ThI
3519.9937 ArII
3521.0596 ThI
3521.2600 ArII
3523.5061 ThI
3523.7585 ThI
3524.1787 ThI
3524.7090 ThI
3526.6343 ThI
3527.0005 Th
3527.3225 ThI
3528.4116 ThI
3528.8203 ThII
3528.9543 ThII
3529.3860 ThI
3530.5149 ThI
3531.4504 ThI
3533.1826 ThI
3535.3196 ArII
3536.0107 ThI
3537.1597 ThII
3539.3223 ThII
